년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
20-Sep,서귀포시,천지동,전시 및 행사 대행업,90,3510900,8999080.127,2021-07-28
20-Sep,서귀포시,천지동,일식 음식점업,4757,302442900,8999080.127,2021-07-28
20-Sep,서귀포시,천지동,일반유흥 주점업,1605,440489060,8999080.127,2021-07-28
20-Sep,서귀포시,천지동,육류 소매업,2241,324293698,8999080.127,2021-07-28
20-Sep,서귀포시,천지동,욕탕업,270,3778300,8999080.127,2021-07-28
20-Sep,서귀포시,천지동,여관업,2317,155078631,8999080.127,2021-07-28
20-Sep,서귀포시,표선면,과실 및 채소 소매업,1316,64473350,11031902.57,2021-07-28
20-Sep,서귀포시,천지동,스포츠 및 레크레이션 용품 임대업,2379,321388840,8999080.127,2021-07-28
20-Sep,서귀포시,표선면,관광 민예품 및 선물용품 소매업,80,10698500,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,그외 기타 종합 소매업,10,5030000,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,전시 및 행사 대행업,876,24921300,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,일식 음식점업,479,41592500,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,일반유흥 주점업,287,61553000,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,육류 소매업,715,61728000,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,욕탕업,4,360000,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,여관업,356,26790550,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,스포츠 및 레크레이션 용품 임대업,834,27359800,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,슈퍼마켓,8476,340446050,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,수산물 소매업,661,47873050,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,서양식 음식점업,2403,46609810,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,빵 및 과자류 소매업,1323,22744550,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,비알콜 음료점업,624,8755060,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,기타음식료품위주종합소매업,6309,259218020,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,기타 주점업,143,25193000,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,기타 외국식 음식점업,202,5356000,11031902.57,2021-07-28
20-Sep,서귀포시,표선면,그외 기타 스포츠시설 운영업,17,1395000,11031902.57,2021-07-28
20-Sep,서귀포시,천지동,슈퍼마켓,8070,188546680,8999080.127,2021-07-28
20-Sep,서귀포시,천지동,화장품 및 방향제 소매업,917,109808750,8999080.127,2021-07-28
20-Sep,서귀포시,중앙동,기타음식료품위주종합소매업,2960,333652130,4464560.108,2021-07-28
20-Sep,서귀포시,천지동,수산물 소매업,4297,393421912,8999080.127,2021-07-28
